Accession,prop_hits,Species,Genus,Genus_clean,Length,Authors,Publications,Geo_Location,Host,Isolation_Source,Collection_Date,GenBank_Title,Species_clean,Host_taxID
JN874561,0.192090395480226,Rabbit coronavirus HKU14,Betacoronavirus,Betacoronavirus,31096,"Lau,S.K., Woo,P.C., Yip,C.C., Fan,R.Y., Huang,Y., Wang,M., Guo,R., Lam,C.S., Tsang,A.K., Lai,K.K., Chan,K.H., Che,X.Y., Zheng,B.J., Yuen,K.Y., Lau,S.K.P., Woo,P.C.Y., Yip,C.C.Y., Fan,R.Y.Y., Guo,R.T., Lam,C.S.F., Lai,K.K.Y.",22398294,China,Oryctolagus cuniculus,unknown,2007,"Rabbit coronavirus HKU14 strain HKU14-8, complete genome",Rabbit coronavirus HKU14,9986
JN129834,0.192090395480226,Betacoronavirus 1,Betacoronavirus,Betacoronavirus,30710,"Lau,S.K., Lee,P., Tsang,A.K., Yip,C.C., Tse,H., Lee,R.A., So,L.Y., Lau,Y.L., Chan,K.H., Woo,P.C., Yuen,K.Y., Lau,S.K.P., Tsang,A.K.L., Yip,C.C.Y., So,L.-Y., Lau,Y.-L., Chan,K.-H., Woo,P.C.Y., Yuen,K.-Y.",21849456,China: Hong Kong,Homo sapiens,unknown,2004-11,"Human coronavirus OC43 strain HK04-01, complete genome",Betacoronavirus 1,9606
JN129835,0.192090395480226,Betacoronavirus 1,Betacoronavirus,Betacoronavirus,30722,"Lau,S.K., Lee,P., Tsang,A.K., Yip,C.C., Tse,H., Lee,R.A., So,L.Y., Lau,Y.L., Chan,K.H., Woo,P.C., Yuen,K.Y., Lau,S.K.P., Tsang,A.K.L., Yip,C.C.Y., So,L.-Y., Lau,Y.-L., Chan,K.-H., Woo,P.C.Y., Yuen,K.-Y.",21849456,China: Hong Kong,Homo sapiens,unknown,2004-11,"Human coronavirus OC43 strain HK04-02, complete genome",Betacoronavirus 1,9606
FJ938067,0.192090395480226,Betacoronavirus 1,Betacoronavirus,Betacoronavirus,30953,"Spiro,D., Halpin,R., Wang,S., Hostetler,J., Overton,L., Tsitrin,T., Sarmiento,M., Amedeo,P., Caler,E., Lorenzi,H., Schobel,S., Sundaram,J., Zhang,X., Vlasova,A., Zhang,X.M., Saif,L.","","",Homo sapiens,unknown,4/17/2009,"Human enteric coronavirus strain 4408, complete genome",Betacoronavirus 1,9606
FJ938066,0.192090395480226,Betacoronavirus 1,Betacoronavirus,Betacoronavirus,30953,"Spiro,D., Halpin,R., Wang,S., Hostetler,J., Overton,L., Tsitrin,T., Sarmiento,M., Amedeo,P., Caler,E., Lorenzi,H., Schobel,S., Sundaram,J., Zhang,X., Alekseev,K., Hasoksuz,M., Vlasova,A., Saif,L.","",USA: Ohio,Bos taurus,unknown,1/1/1996,"Bovine respiratory coronavirus bovine/US/OH-440-TC/1996, complete genome",Betacoronavirus 1,9913
FJ647223,0.192090395480226,Murine coronavirus,Betacoronavirus,Betacoronavirus,31386,"De Albuquerque,N., Baig,E., Ma,X., Zhang,J., He,W., Rowe,A., Habal,M., Liu,M., Shalev,I., Downey,G.P., Gorczynski,R., Butany,J., Leibowitz,J., Weiss,S.R., McGilvray,I.D., Phillips,M.J., Fish,E.N., Levy,G.A., Spiro,D., Halpin,R., Wang,S., Hostetler,J., Overton,L., Tsitrin,T., Katzel,D., Sarmiento,M., Sitz,J., Amedeo,P., Caler,E., Lorenzi,H., Schobel,S., Sundaram,J., Weiss,S.",17041219,USA: Pennsylvania,Mus musculus,unknown,"","Murine coronavirus MHV-1, complete genome",Murine coronavirus,10090
FJ425187,0.192090395480226,Betacoronavirus 1,Betacoronavirus,Betacoronavirus,31020,"Alekseev,K.P., Vlasova,A.N., Jung,K., Hasoksuz,M., Zhang,X., Halpin,R., Wang,S., Ghedin,E., Spiro,D., Saif,L.J., Hostetler,J., Overton,L., Tsitrin,T., Sarmiento,M., Lorenzi,H., Caler,E., Sundaram,J., Hasoksus,M., Alekseev,K., Vlasova,A., Saif,L.",18842722,USA: Ohio,Odocoileus virginianus,unknown,1/1/1994,"White-tailed deer coronavirus US/OH-WD470/1994, complete genome",Betacoronavirus 1,9874
DQ415902,0.192090395480226,Human coronavirus HKU1,Betacoronavirus,Betacoronavirus,29845,"Woo,P.C., Lau,S.K., Yip,C.C., Huang,Y., Tsoi,H.W., Chan,K.H., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Yip,C.C.Y.",16809319,China: Hong Kong,Homo sapiens,oronasopharynx,"","Human coronavirus HKU1 strain N25 genotype B, complete genome",Human coronavirus HKU1,9606
AY585229,0.192090395480226,Betacoronavirus 1,Betacoronavirus,Betacoronavirus,30744,"St-Jean,J.R., Jacomy,H., Desforges,M., Vabret,A., Freymuth,F., Talbot,P.J.",15280490,France: Paris,Homo sapiens,oronasopharynx,"","Human coronavirus OC43 serotype OC43-Paris, complete genome",Betacoronavirus 1,9606
MN514962,0.186440677966102,Betacoronavirus 1,Betacoronavirus,Betacoronavirus,31021,"So,R.T.Y., Chu,D.K.W., Miguel,E., Perera,R.A.P.M., Oladipo,J.O., Fassi-Fihri,O., Aylet,G., Ko,R.L.W., Zhou,Z., Cheng,M.S., Kuranga,S.A., Roger,F.L., Chevalier,V., Webby,R.J., Woo,P.C.Y., Poon,L.L.M., Peiris,M., Cheng,M.-S.",31534035,Ethiopia,Camelus dromedarius,unknown,2/21/2015,"Dromedary camel coronavirus HKU23 isolate DcCoV-HKU23/camel/Ethiopia/CAC1019/2015, complete genome",Camel Betacoronavirus,9838
MN310476,0.186440677966102,Betacoronavirus 1,Betacoronavirus,Betacoronavirus,30562,"Lin,M.J., Tait,A., Greninger,A.L.","",USA,Homo sapiens,unknown,2019,"Human coronavirus OC43 strain HCoV_OC43/Seattle/USA/SC9428/2018, complete genome",Human coronavirus OC43,9606
MN306043,0.186440677966102,Betacoronavirus 1,Betacoronavirus,Betacoronavirus,30716,"Lin,M.J., Tait,A., Greninger,A.L.","",USA,Homo sapiens,unknown,2019,"Human coronavirus OC43 strain HCoV_OC43/Seattle/USA/SC0841/2019, complete genome",Human coronavirus OC43,9606
MN306041,0.186440677966102,Betacoronavirus 1,Betacoronavirus,Betacoronavirus,30717,"Lin,M.J., Tait,A., Greninger,A.L.","",USA,Homo sapiens,unknown,2019,"Human coronavirus OC43 strain HCoV_OC43/Seattle/USA/SC0810/2019, complete genome",Human coronavirus OC43,9606
MN306042,0.186440677966102,Betacoronavirus 1,Betacoronavirus,Betacoronavirus,30723,"Lin,M.J., Tait,A., Greninger,A.L.","",USA,Homo sapiens,unknown,2019,"Human coronavirus OC43 strain HCoV_OC43/Seattle/USA/SC0839/2019, complete genome",Human coronavirus OC43,9606
MG757138,0.186440677966102,Betacoronavirus 1,Betacoronavirus,Betacoronavirus,31026,"Salem,E., Meyer,G., Ducatez,M.","",France,Bos taurus,lung,2014,"Bovine coronavirus isolate ICSA21-LBA, complete genome",Betacoronavirus 1,9913
MH810163,0.186440677966102,Betacoronavirus 1,Betacoronavirus,Betacoronavirus,31032,"He,Q.F., Guo,Z.J.","",China,Bos grunniens,unknown,2017,"Yak coronavirus strain YAK/HY24/CH/2017, complete genome",Betacoronavirus 1,30521
MK167038,0.186440677966102,Human coronavirus HKU1,Betacoronavirus,Betacoronavirus,29921,"Greninger,A.L., Shean,R.C., Makhsous,N.","",USA,Homo sapiens,unknown,2017,"Human coronavirus HKU1 strain SC2521, complete genome",Human coronavirus HKU1,9606
MH121121,0.186440677966102,Betacoronavirus 1,Betacoronavirus,Betacoronavirus,30722,"Dinwiddie,D.L., Putt,C.M., Thompson,T.M., Abramo,T.J., Stoner,A.N., Schwalm,K.C., Kincaid,J.C., Denson,J.L., Hardin,O., Kennedy,J.L.","","USA: Little Rock, Arkansas",Homo sapiens,oronasopharynx,12/19/2016,"Human coronavirus OC43 isolate HCoV-OC43/USA/ACRI_0213/2016, complete genome",Human coronavirus OC43,9606
MH940245,0.186440677966102,Human coronavirus HKU1,Betacoronavirus,Betacoronavirus,29811,"Joyjinda,Y., Rodpan,A., Chartpituck,P., Yaemsakul,S., Suthum,K., Cheun-Arom,T., Bunprakob,S., Hemachudha,T., Wacharapluesadee,S.","",Thailand,Homo sapiens,unknown,6/4/2017,"Human coronavirus HKU1 isolate SI17244, complete genome",Human coronavirus HKU1,9606
MG197711,0.186440677966102,Betacoronavirus 1,Betacoronavirus,Betacoronavirus,30544,"Zhu,Y., Chen,L., Xie,Z.","",China,Homo sapiens,oronasopharynx,6/9/2015,"Human coronavirus OC43 strain BJ-164, complete genome",Human coronavirus OC43,9606
MG197720,0.186440677966102,Betacoronavirus 1,Betacoronavirus,Betacoronavirus,30567,"Zhu,Y., Chen,L., Xie,Z.","",China,Homo sapiens,oronasopharynx,6/5/2015,"Human coronavirus OC43 strain YC-68, complete genome",Human coronavirus OC43,9606
MG197721,0.186440677966102,Betacoronavirus 1,Betacoronavirus,Betacoronavirus,30521,"Zhu,Y., Chen,L., Xie,Z.","",China,Homo sapiens,oronasopharynx,6/13/2015,"Human coronavirus OC43 strain YC-72, complete genome",Human coronavirus OC43,9606
MG197723,0.186440677966102,Betacoronavirus 1,Betacoronavirus,Betacoronavirus,30566,"Zhu,Y., Chen,L., Xie,Z.","",China,Homo sapiens,oronasopharynx,6/20/2016,"Human coronavirus OC43 strain HZ-459, complete genome",Human coronavirus OC43,9606
MF314143,0.186440677966102,Betacoronavirus 1,Betacoronavirus,Betacoronavirus,30737,"Dinwiddie,D.L., Kennedy,J.L., Schwalm,K.C., Stoner,A.N., Abramo,T.J.","","USA: Little Rock, Arkansas",Homo sapiens,oronasopharynx,3/7/2016,"Human coronavirus OC43 isolate HCoV-OC43/USA/ACRI_0052/2016, complete genome",Human coronavirus OC43,9606
MG596803,0.186440677966102,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,30039,"Moreno,A., Lelli,D., de Sabato,L., Zaccaria,G., Boni,A., Sozzi,E., Prosperi,A., Lavazza,A., Cella,E., Castrucci,M.R., Cicozzi,M., Vaccari,G., De Sabato,L.",29258555,Italy,Pipistrellus kuhlii,unknown,2011,"Middle East respiratory syndrome-related coronavirus isolate Bat-CoV/P.khulii/Italy/206645-63/2011, complete genome",MERS,59472
MF374984,0.186440677966102,Betacoronavirus 1,Betacoronavirus,Betacoronavirus,30713,"Dinwiddie,D.L., Schwalm,K.C., Denson,J.L., Dehority,W.N.","","USA: Albuquerque, New Mexico",Homo sapiens,oronasopharynx,1/3/2017,"Human coronavirus OC43 isolate HCoV-OC43/USA/TCNP_00204/2017, complete genome",Human coronavirus OC43,9606
MF374985,0.186440677966102,Betacoronavirus 1,Betacoronavirus,Betacoronavirus,30705,"Dinwiddie,D.L., Schwalm,K.C., Denson,J.L., Dehority,W.N.","","USA: Albuquerque, New Mexico",Homo sapiens,oronasopharynx,1/17/2017,"Human coronavirus OC43 isolate HCoV-OC43/USA/TCNP_00212/2017, complete genome",Human coronavirus OC43,9606
KY983583,0.186440677966102,Betacoronavirus 1,Betacoronavirus,Betacoronavirus,30668,"Greninger,A.L., Makhsous,N., Kuypers,J., Shean,R.C., Jerome,K.R., Kuypers,J.M.","",USA,Homo sapiens,unknown,2015,"Human coronavirus OC43 strain HCoV_OC43/Seattle/USA/SC2481/2015, complete genome",Human coronavirus OC43,9606
KY983585,0.186440677966102,Betacoronavirus 1,Betacoronavirus,Betacoronavirus,30659,"Greninger,A.L., Makhsous,N., Kuypers,J., Shean,R.C., Jerome,K.R., Kuypers,J.M.","",USA,Homo sapiens,unknown,2015,"Human coronavirus OC43 strain HCoV_OC43/Seattle/USA/SC2854/2015, complete genome",Human coronavirus OC43,9606
KY983588,0.186440677966102,Betacoronavirus 1,Betacoronavirus,Betacoronavirus,30562,"Greninger,A.L., Makhsous,N., Kuypers,J., Shean,R.C., Jerome,K.R., Kuypers,J.M.","",USA,Homo sapiens,unknown,2015,"Human coronavirus OC43 strain HCoV_OC43/Seattle/USA/SC3118/2015, complete genome",Human coronavirus OC43,9606
KY967359,0.186440677966102,Betacoronavirus 1,Betacoronavirus,Betacoronavirus,30670,"Greninger,A.L., Makhsous,N., Kuypers,J.M., Shean,R.C., Jerome,K.R.","",USA,Homo sapiens,unknown,2015,"Human coronavirus OC43 strain HCoV_OC43/Seattle/USA/SC2730/2015, complete genome",Human coronavirus OC43,9606
KY967358,0.186440677966102,Betacoronavirus 1,Betacoronavirus,Betacoronavirus,30670,"Greninger,A.L., Makhsous,N., Kuypers,J.M., Shean,R.C., Jerome,K.R.","",USA,Homo sapiens,unknown,2015,"Human coronavirus OC43 strain HCoV_OC43/Seattle/USA/SC2770/2015, complete genome",Human coronavirus OC43,9606
KY967361,0.186440677966102,Betacoronavirus 1,Betacoronavirus,Betacoronavirus,30661,"Greninger,A.L., Makhsous,N., Kuypers,J.M., Shean,R.C., Jerome,K.R.","",USA,Homo sapiens,unknown,2015,"Human coronavirus OC43 strain HCoV_OC43/Seattle/USA/SC2345/2015, complete genome",Human coronavirus OC43,9606
KX982264,0.186440677966102,Betacoronavirus 1,Betacoronavirus,Betacoronavirus,30847,"Kin,N., Guerard,P., Diancourt,L., Caro,V., Ar Gouilh,M., Vabret,A.","",France,Bos taurus,feces,3/4/2014,"Bovine coronavirus isolate BCoV_2014_13, complete genome",Betacoronavirus 1,9913
KY674943,0.186440677966102,Human coronavirus HKU1,Betacoronavirus,Betacoronavirus,29908,"Greninger,A.L., Makhsous,N., Kuypers,J., Shean,R.C., Jerome,K.R., Kuypers,J.M.","",USA,Homo sapiens,unknown,2016,"Human coronavirus HKU1 strain N09-1605B, complete genome",Human coronavirus HKU1,9606
KY674921,0.186440677966102,Human coronavirus HKU1,Betacoronavirus,Betacoronavirus,29820,"Greninger,A.L., Makhsous,N., Kuypers,J., Shean,R.C., Jerome,K.R., Kuypers,J.M.","",USA,Homo sapiens,unknown,2016,"Human coronavirus HKU1 genotype B strain N08-87, complete genome",Human coronavirus HKU1,9606
KY684759,0.186440677966102,Betacoronavirus 1,Betacoronavirus,Betacoronavirus,30656,"Greninger,A.L., Makhsous,N., Kuypers,J., Shean,R.C., Jerome,K.R., Kuypers,J.M.","",USA,Homo sapiens,unknown,2016,"Human coronavirus OC43 strain HCoV_OC43/Seattle/USA/SC2269/2016, complete genome",Human coronavirus OC43,9606
KX538968,0.186440677966102,Betacoronavirus 1,Betacoronavirus,Betacoronavirus,30716,"Oong,X.Y., Ng,K.T., Takebe,Y., Ng,L.J., Chan,K.G., Chook,J.B., Kamarulzaman,A., Tee,K.K.",28050020,Malaysia: Kuala Lumpur,Homo sapiens,oronasopharynx,5/9/2012,"Human coronavirus OC43 isolate MY-U464/12, complete genome",Human coronavirus OC43,9606
KY369905,0.186440677966102,Betacoronavirus 1,Betacoronavirus,Betacoronavirus,30581,"Greninger,A.L., Makhsous,N., Kuypers,J.M., Shean,R.C., Jerome,K.R.","",USA,Homo sapiens,unknown,2016,"Human coronavirus OC43 strain HCoV_OC43/Seattle/USA/SC831/2016, complete genome",Human coronavirus OC43,9606
KY369906,0.186440677966102,Betacoronavirus 1,Betacoronavirus,Betacoronavirus,30689,"Greninger,A.L., Makhsous,N., Kuypers,J.M., Shean,R.C., Jerome,K.R.","",USA,Homo sapiens,unknown,2016,"Human coronavirus OC43 strain HCoV_OC43/Seattle/USA/SC622/2016, complete genome",Human coronavirus OC43,9606
KY369907,0.186440677966102,Betacoronavirus 1,Betacoronavirus,Betacoronavirus,30725,"Greninger,A.L., Makhsous,N., Kuypers,J.M., Shean,R.C., Jerome,K.R.","",USA,Homo sapiens,unknown,2016,"Human coronavirus OC43 strain HCoV_OC43/Seattle/USA/SC9741/2016, complete genome",Human coronavirus OC43,9606
KU886219,0.186440677966102,Betacoronavirus 1,Betacoronavirus,Betacoronavirus,30975,"Hu,J., Wang,Q., Zhang,W., Shi,C., Jiao,H., Peng,A., Zhang,Y., Wang,N., Meng,Z.","",China: Xinjiang,Bos taurus,unknown,5/30/2015,"Bovine coronavirus strain BCV-AKS-01, complete genome",Betacoronavirus 1,9913
KU131570,0.186440677966102,Betacoronavirus 1,Betacoronavirus,Betacoronavirus,30746,"Morfopoulou,S., Brown,J.R., Davies,G.E., Anderson,G., Virasami,A., Qasim,W., Hubank,M., Plagnol,V., Desforges,M., Jacques,T.S., Talbot,P.J., Breuer,J.","",United Kingdom,Homo sapiens,brain,8/20/2011,"Human coronavirus OC43 strain HCoV-OC43/UK/London/2011, complete genome",Human coronavirus OC43,9606
KJ473808,0.186440677966102,BtRf-AlphaCoV/YN2012,Alphacoronavirus,Alphacoronavirus,26975,"Wu,Z., Yang,L., Ren,X., He,G., Zhang,J., Yang,J., Qian,Z., Dong,J., Sun,L., Zhu,Y., Du,J., Yang,F., Zhang,S., Jin,Q.",26262818,China,Rhinolophus ferrumequinum,unknown,2012,"BtRf-AlphaCoV/YN2012, complete genome",BtRf-AlphaCoV/YN2012,59479
KT368891,0.186440677966102,Camel coronavirus HKU23,Alphacoronavirus,Alphacoronavirus,31041,"Sabir,J.S.M., Lam,T.Y., Ahmed,M.M., Li,L., Shen,Y., AboAba,S., Qureshi,M.I., Abu-Zaid,M., Zhang,Y., Khiyami,M.A., Alharbi,N.S., Hajrah,N.H., Sabir,M.J., Mutwakil,M.H.Z., Kabli,S.A., Alsulaimany,F.A.S., Obaid,A.Y., Zhou,B., Smith,D.K., Holmes,E.C., Zhu,H., Guan,Y.","",Saudi Arabia,Camelus dromedarius,unknown,2015-03,"Camel coronavirus HKU23 isolate camel/Riyadh/Ry123/2015, complete genome",Camel coronavirus HKU23,9838
KF923895,0.186440677966102,Betacoronavirus 1,Betacoronavirus,Betacoronavirus,30731,"Zhang,Y., Ren,L., Wang,J.","",China: Beijing,Homo sapiens,oronasopharynx,2010-07,"Human coronavirus OC43 isolate 10285/2010, complete genome",Human coronavirus OC43,9606
KF906249,0.186440677966102,Betacoronavirus 1,Betacoronavirus,Betacoronavirus,31052,"Woo,P.C., Lau,S.K., Wernery,U., Wong,E.Y., Tsang,A.K., Johnson,B., Yip,C.C., Lau,C.C., Sivakumar,S., Cai,J.P., Fan,R.Y., Chan,K.H., Mareena,R., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Wong,E.Y.M., Tsang,A.K.L., Yip,C.C.Y., Lau,C.C.Y., Cai,J.-P., Fan,R.Y.Y., Chan,K.-H., Yuen,K.-Y.",24655427,United Arab Emirates: Dubai,Camelus bactrianus,unknown,4/3/2013,"Dromedary camel coronavirus HKU23 strain HKU23-265F, complete genome",Betacoronavirus 1,9837
KF906250,0.186440677966102,Betacoronavirus 1,Betacoronavirus,Betacoronavirus,31052,"Woo,P.C., Lau,S.K., Wernery,U., Wong,E.Y., Tsang,A.K., Johnson,B., Yip,C.C., Lau,C.C., Sivakumar,S., Cai,J.P., Fan,R.Y., Chan,K.H., Mareena,R., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Wong,E.Y.M., Tsang,A.K.L., Yip,C.C.Y., Lau,C.C.Y., Cai,J.-P., Fan,R.Y.Y., Chan,K.-H., Yuen,K.-Y.",24655427,United Arab Emirates: Dubai,Camelus bactrianus,unknown,5/15/2013,"Dromedary camel coronavirus HKU23 strain HKU23-362F, complete genome",Betacoronavirus 1,9837
KF530095,0.186440677966102,Betacoronavirus 1,Betacoronavirus,Betacoronavirus,30602,"Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Talbot,H.K., Wentworth,D.E., Williams,J.V.","","USA: Nashville, TN",Homo sapiens,unknown,2/5/1991,"Human coronavirus OC43 strain OC43/human/USA/912-6/1991, complete genome",Betacoronavirus 1,9606
KF530091,0.186440677966102,Betacoronavirus 1,Betacoronavirus,Betacoronavirus,30606,"Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Talbot,H.K., Wentworth,D.E., Williams,J.V.","","USA: Nashville, TN",Homo sapiens,unknown,1/24/1991,"Human coronavirus OC43 strain OC43/human/USA/911-58/1991, complete genome",Betacoronavirus 1,9606
KF530096,0.186440677966102,Betacoronavirus 1,Betacoronavirus,Betacoronavirus,30589,"Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Talbot,H.K., Wentworth,D.E., Williams,J.V.","","USA: Nashville, TN",Homo sapiens,unknown,1/15/1991,"Human coronavirus OC43 strain OC43/human/USA/911-38/1991, complete genome",Betacoronavirus 1,9606
KF530079,0.186440677966102,Betacoronavirus 1,Betacoronavirus,Betacoronavirus,30581,"Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Talbot,H.K., Wentworth,D.E., Williams,J.V.","","USA: Nashville, TN",Homo sapiens,unknown,3/14/1991,"Human coronavirus OC43 strain OC43/human/USA/913-29/1991, complete genome",Betacoronavirus 1,9606
KF530089,0.186440677966102,Betacoronavirus 1,Betacoronavirus,Betacoronavirus,30611,"Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Talbot,H.K., Wentworth,D.E., Williams,J.V.","","USA: Nashville, TN",Homo sapiens,unknown,1/29/1991,"Human coronavirus OC43 strain OC43/human/USA/911-66/1991, complete genome",Betacoronavirus 1,9606
KF530067,0.186440677966102,Betacoronavirus 1,Betacoronavirus,Betacoronavirus,30608,"Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Talbot,H.K., Wentworth,D.E., Williams,J.V.","","USA: Nashville, TN",Homo sapiens,unknown,2/7/1991,"Human coronavirus OC43 strain OC43/human/USA/912-10/1991, complete genome",Betacoronavirus 1,9606
KF530088,0.186440677966102,Betacoronavirus 1,Betacoronavirus,Betacoronavirus,30578,"Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Talbot,H.K., Wentworth,D.E., Williams,J.V.","","USA: Nashville, TN",Homo sapiens,unknown,1/23/1990,"Human coronavirus OC43 strain OC43/human/USA/901-54/1990, complete genome",Betacoronavirus 1,9606
KF530071,0.186440677966102,Betacoronavirus 1,Betacoronavirus,Betacoronavirus,30578,"Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Talbot,H.K., Wentworth,D.E., Williams,J.V.","","USA: Nashville, TN",Homo sapiens,unknown,5/4/1992,"Human coronavirus OC43 strain OC43/human/USA/925-1/1992, complete genome",Betacoronavirus 1,9606
KF530076,0.186440677966102,Betacoronavirus 1,Betacoronavirus,Betacoronavirus,30606,"Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Talbot,H.K., Wentworth,D.E., Williams,J.V.","","USA: Nashville, TN",Homo sapiens,unknown,1/3/1991,"Human coronavirus OC43 strain OC43/human/USA/911-11/1991, complete genome",Betacoronavirus 1,9606
KF530082,0.186440677966102,Betacoronavirus 1,Betacoronavirus,Betacoronavirus,30581,"Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Talbot,H.K., Wentworth,D.E., Williams,J.V.","","USA: Nashville, TN",Homo sapiens,unknown,2/7/1991,"Human coronavirus OC43 strain OC43/human/USA/912-11/1991, complete genome",Betacoronavirus 1,9606
KF530094,0.186440677966102,Betacoronavirus 1,Betacoronavirus,Betacoronavirus,30581,"Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Talbot,H.K., Wentworth,D.E., Williams,J.V.","","USA: Nashville, TN",Homo sapiens,unknown,2/22/1991,"Human coronavirus OC43 strain OC43/human/USA/912-36/1991, complete genome",Betacoronavirus 1,9606
KF686340,0.186440677966102,Human coronavirus HKU1,Betacoronavirus,Betacoronavirus,29923,"Dominguez,S.R., Shrivastava,S., Berglund,A., Qian,Z., Goes,L.G., Halpin,R.A., Fedorova,N., Ransier,A., Weston,P.A., Durigon,E.L., Jerez,J.A., Robinson,C.C., Town,C.D., Holmes,K.V., Motley,J., Djikeng,S., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Thovarai,V., Wang,S., Dominguez,S., Wentworth,D.E.",24394697,"USA: Denver, CO",Homo sapiens,unknown,11/28/2009,"Human coronavirus HKU1 strain HKU1/human/USA/HKU1-5/2009, complete genome",Human coronavirus HKU1,9606
KF686342,0.186440677966102,Human coronavirus HKU1,Betacoronavirus,Betacoronavirus,29742,"Dominguez,S.R., Shrivastava,S., Berglund,A., Qian,Z., Goes,L.G., Halpin,R.A., Fedorova,N., Ransier,A., Weston,P.A., Durigon,E.L., Jerez,J.A., Robinson,C.C., Town,C.D., Holmes,K.V., Motley,J., Djikeng,S., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Thovarai,V., Wang,S., Dominguez,S., Wentworth,D.E.",24394697,"USA: Denver, CO",Homo sapiens,unknown,12/13/2009,"Human coronavirus HKU1 strain HKU1/human/USA/HKU1-11/2009, complete genome",Human coronavirus HKU1,9606
KF686343,0.186440677966102,Human coronavirus HKU1,Betacoronavirus,Betacoronavirus,29983,"Dominguez,S.R., Shrivastava,S., Berglund,A., Qian,Z., Goes,L.G., Halpin,R.A., Fedorova,N., Ransier,A., Weston,P.A., Durigon,E.L., Jerez,J.A., Robinson,C.C., Town,C.D., Holmes,K.V., Motley,J., Djikeng,S., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Thovarai,V., Wang,S., Dominguez,S., Wentworth,D.E.",24394697,"USA: Denver, CO",Homo sapiens,unknown,1/8/2010,"Human coronavirus HKU1 strain HKU1/human/USA/HKU1-13/2010, complete genome",Human coronavirus HKU1,9606
