Accession,mean,Species,Genus,Genus_clean,Length,Authors,Publications,Geo_Location,Host,Isolation_Source,Collection_Date,GenBank_Title,Species_clean,Host_taxID
KJ473807,59.075380952381,Rhinolophus ferrumequinum alphacoronavirus HuB-2013,Alphacoronavirus,Alphacoronavirus,27608,"Wu,Z., Yang,L., Ren,X., He,G., Zhang,J., Yang,J., Qian,Z., Dong,J., Sun,L., Zhu,Y., Du,J., Yang,F., Zhang,S., Jin,Q.",26262818,China,Rhinolophus ferrumequinum,unknown,2013,"BtRf-AlphaCoV/HuB2013, complete genome",Rhinolophus ferrumequinum alphacoronavirus HuB-2013,59479
KJ473808,54.089,BtRf-AlphaCoV/YN2012,Alphacoronavirus,Alphacoronavirus,26975,"Wu,Z., Yang,L., Ren,X., He,G., Zhang,J., Yang,J., Qian,Z., Dong,J., Sun,L., Zhu,Y., Du,J., Yang,F., Zhang,S., Jin,Q.",26262818,China,Rhinolophus ferrumequinum,unknown,2012,"BtRf-AlphaCoV/YN2012, complete genome",BtRf-AlphaCoV/YN2012,59479
KJ473809,59.372,Nyctalus velutinus alphacoronavirus SC-2013,Alphacoronavirus,Alphacoronavirus,27783,"Wu,Z., Yang,L., Ren,X., He,G., Zhang,J., Yang,J., Qian,Z., Dong,J., Sun,L., Zhu,Y., Du,J., Yang,F., Zhang,S., Jin,Q.",26262818,China,Nyctalus velutinus,unknown,2013,"BtNv-AlphaCoV/SC2013, complete genome",Nyctalus velutinus alphacoronavirus SC-2013,187011
KJ473810,57.6958,Rhinolophus ferrumequinum alphacoronavirus HuB-2013,Alphacoronavirus,Alphacoronavirus,27576,"Wu,Z., Yang,L., Ren,X., He,G., Zhang,J., Yang,J., Qian,Z., Dong,J., Sun,L., Zhu,Y., Du,J., Yang,F., Zhang,S., Jin,Q.",26262818,China,Myotis sp.,unknown,2013,"BtMs-AlphaCoV/GS2013, complete genome",Rhinolophus ferrumequinum alphacoronavirus HuB-2013,59479
KJ473811,88.1108253968254,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29037,"Wu,Z., Yang,L., Ren,X., Zhang,J., Yang,F., Zhang,S., Jin,Q., He,G., Yang,J., Qian,Z., Dong,J., Sun,L., Zhu,Y., Du,J.","26433221, 26262818",China,Rhinolophus ferrumequinum,unknown,2012,"BtRf-BetaCoV/JL2012, complete genome",Severe acute respiratory syndrome-related coronavirus,59479
KJ473812,87.1548923076923,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29443,"Wu,Z., Yang,L., Ren,X., Zhang,J., Yang,F., Zhang,S., Jin,Q., He,G., Yang,J., Qian,Z., Dong,J., Sun,L., Zhu,Y., Du,J.","26433221, 26262818",China,Rhinolophus ferrumequinum,unknown,2013,"BtRf-BetaCoV/HeB2013, complete genome",SARS-like,59479
KJ473813,87.8222421875,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29461,"Wu,Z., Yang,L., Ren,X., Zhang,J., Yang,F., Zhang,S., Jin,Q., He,G., Yang,J., Qian,Z., Dong,J., Sun,L., Zhu,Y., Du,J.","26433221, 26262818",China,Rhinolophus ferrumequinum,unknown,2013,"BtRf-BetaCoV/SX2013, complete genome",SARS-like,59479
KJ473814,86.7450223880597,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29658,"Wu,Z., Yang,L., Ren,X., Zhang,J., Yang,F., Zhang,S., Jin,Q., He,G., Yang,J., Qian,Z., Dong,J., Sun,L., Zhu,Y., Du,J.","26433221, 26262818",China,Rhinolophus sinicus,unknown,2013,"BtRs-BetaCoV/HuB2013, complete genome",Severe acute respiratory syndrome-related coronavirus,89399
KJ473815,89.4807777777778,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29161,"Wu,Z., Yang,L., Ren,X., Zhang,J., Yang,F., Zhang,S., Jin,Q., He,G., Yang,J., Qian,Z., Dong,J., Sun,L., Zhu,Y., Du,J.","26433221, 26262818",China,Rhinolophus sinicus,unknown,2013,"BtRs-BetaCoV/GX2013, complete genome",Severe acute respiratory syndrome-related coronavirus,89399
KJ473816,87.2453257575758,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29142,"Wu,Z., Yang,L., Ren,X., Zhang,J., Yang,F., Zhang,S., Jin,Q., He,G., Yang,J., Qian,Z., Dong,J., Sun,L., Zhu,Y., Du,J.","26433221, 26262818",China,Rhinolophus sinicus,unknown,2013,"BtRs-BetaCoV/YN2013, complete genome",SARS-like,89399
KJ473820,66.5446333333333,Pipistrellus bat coronavirus HKU5,Betacoronavirus,Betacoronavirus,30480,"Wu,Z., Yang,L., Ren,X., Zhang,J., Yang,F., Zhang,S., Jin,Q., He,G., Yang,J., Qian,Z., Dong,J., Sun,L., Zhu,Y., Du,J.","26433221, 26262818",China,Pipistrellus abramus,unknown,2013,"BtPa-BetaCoV/GD2013, complete genome",Pipistrellus bat coronavirus HKU5,105295
KJ473821,67.2864333333333,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,30423,"Yang,L., Wu,Z., Ren,X., Yang,F., Zhang,J., He,G., Dong,J., Sun,L., Zhu,Y., Zhang,S., Jin,Q., Yang,J., Qian,Z., Du,J.","24960574, 26433221, 26262818",China,Vespertilio sinensis,unknown,"","BtVs-BetaCoV/SC2013, complete genome",MERS,105273
KJ473822,65.1579677419355,Tylonycteris bat coronavirus HKU4,Betacoronavirus,Betacoronavirus,30247,"Wu,Z., Yang,L., Ren,X., Zhang,J., Yang,F., Zhang,S., Jin,Q., He,G., Yang,J., Qian,Z., Dong,J., Sun,L., Zhu,Y., Du,J.","26433221, 26262818",China,Tylonycteris pachypus,unknown,2012,"BtTp-BetaCoV/GX2012, complete genome",Tylonycteris bat coronavirus HKU4,258959
KJ477102,62.7801851851852,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29908,"Chu,D.K., Poon,L.L., Gomaa,M.M., Shehata,M.M., Perera,R.A., Abu Zeid,D., El Rifay,A.S., Siu,L.Y., Guan,Y., Webby,R.J., Ali,M.A., Peiris,M., Kayali,G., Chu,D.K.W., Poon,L.L.M., Ali,M., Peiris,M.J.S.",24856660,Egypt,Camelus dromedarius,unknown,2013,"Middle East respiratory syndrome coronavirus, complete genome",MERS,9838
KJ477103,65.7076153846154,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,30101,"Chu,D.K., Poon,L.L., Gomaa,M.M., Shehata,M.M., Perera,R.A., Abu Zeid,D., El Rifay,A.S., Siu,L.Y., Guan,Y., Webby,R.J., Ali,M.A., Peiris,M., Kayali,G., Chan,R.W., Hemida,M.G., Alnaeem,A., Tao,K.P., Ng,H.Y., Chan,M.C., Nicholls,J.M., Peiris,J.S., Chu,D.K.W., Poon,L.L.M., Ali,M., Peiris,M.J.S.","24856660, 25174549",Egypt,Camelus dromedarius,unknown,2013,"Middle East respiratory syndrome-related coronavirus isolate NRCE-HKU270, complete genome",MERS,9838
KJ481931,44.8146666666667,Coronavirus HKU15,Deltacoronavirus,Deltacoronavirus,25406,"Marthaler,D., Jiang,Y., Collins,J., Rossow,K.",24723704,USA,Sus scrofa,unknown,1/4/2014,"Deltacoronavirus PDCoV/USA/Illinois121/2014 from USA, complete genome",Coronavirus HKU15,9823
KJ526096,56.33332,Porcine epidemic diarrhea virus,Alphacoronavirus,Alphacoronavirus,28050,"Song,D., Huang,D., Peng,Q., Huang,T., Chen,Y., Zhang,T., Nie,X., He,H., Wang,P., Liu,Q., Tang,Y.",25790462,China,Sus scrofa,unknown,2013-04,"Porcine epidemic diarrhea virus isolate CH/JX-2/2013, complete genome",Porcine epidemic diarrhea virus,9823
KJ556336,64.5085925925926,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29890,"Memish,Z.A., Cotten,M., Meyer,B., Watson,S.J., Alsahafi,A.J., Al Rabeeah,A.A., Corman,V.M., Sieberg,A., Makhdoom,H.Q., Assiri,A., Al Masri,M., Aldabbagh,S., Bosch,B.J., Beer,M., Muller,M.A., Kellam,P., Drosten,C., Palser,A.L., Zumla,A.",24857749,Saudi Arabia,Homo sapiens,unknown,11/6/2013,"Middle East respiratory syndrome coronavirus isolate Jeddah_1_2013, complete genome",MERS,9606
KJ567050,44.8146666666667,Coronavirus HKU15,Deltacoronavirus,Deltacoronavirus,25422,"Li,G., Chen,Q., Harmon,K.M., Yoon,K.J., Schwartz,K.J., Hoogland,M.J., Gauger,P.C., Main,R.G., Zhang,J.",24723718,USA: Iowa,Sus scrofa,unknown,2/20/2014,"Porcine deltacoronavirus 8734/USA-IA/2014, complete genome",Coronavirus HKU15,9823
KJ569769,44.8146666666667,Coronavirus HKU15,Deltacoronavirus,Deltacoronavirus,25422,"Wang,L., Zhang,Y., Byrum,B.",24744332,USA: Ohio,Sus scrofa,unknown,2/13/2014,"Porcine coronavirus HKU15 strain IN2847, complete genome",Coronavirus HKU15,9823
KJ584355,44.8146666666667,Coronavirus HKU15,Deltacoronavirus,Deltacoronavirus,25422,"Wang,L., Byrum,B., Zhang,Y.",25153521,USA: Ohio,Sus scrofa,unknown,2/12/2014,"Porcine coronavirus HKU15 strain IL2768, complete genome",Coronavirus HKU15,9823
KJ584356,44.8146666666667,Coronavirus HKU15,Deltacoronavirus,Deltacoronavirus,25422,"Wang,L., Byrum,B., Zhang,Y.",25153521,USA: South Dakota,Sus scrofa,unknown,2/20/2014,"Porcine coronavirus HKU15 strain SD3424, complete genome",Coronavirus HKU15,9823
KJ584357,44.4443076923077,Coronavirus HKU15,Deltacoronavirus,Deltacoronavirus,25422,"Wang,L., Byrum,B., Zhang,Y.",25153521,USA: Kentucky,Sus scrofa,unknown,3/7/2014,"Porcine coronavirus HKU15 strain KY4813, complete genome",Coronavirus HKU15,9823
KJ584358,44.8146666666667,Coronavirus HKU15,Deltacoronavirus,Deltacoronavirus,25422,"Wang,L., Byrum,B., Zhang,Y.",25153521,USA: Pennsylvania,Sus scrofa,unknown,2/18/2014,"Porcine coronavirus HKU15 strain PA3148, complete genome",Coronavirus HKU15,9823
KJ584359,44.4443076923077,Coronavirus HKU15,Deltacoronavirus,Deltacoronavirus,25422,"Wang,L., Byrum,B., Zhang,Y.",25153521,USA: Nebraska,Sus scrofa,unknown,2/21/2014,"Porcine coronavirus HKU15 strain NE3579, complete genome",Coronavirus HKU15,9823
KJ584361,57.3187826086957,Porcine epidemic diarrhea virus,Alphacoronavirus,Alphacoronavirus,28038,"Wang,L., Hayes,J., Byrum,B., Zhang,Y.",27059242,USA: Ohio,Sus scrofa,unknown,6/14/2013,"Porcine epidemic diarrhea virus strain OH15962, complete genome",Porcine epidemic diarrhea virus,9823
KJ588062,56.319375,Porcine epidemic diarrhea virus,Alphacoronavirus,Alphacoronavirus,27759,"Choi,J.C., Lee,K.K., Pi,J.H., Park,S.Y., Song,C.S., Choi,I.S., Lee,J.B., Lee,D.H., Lee,S.W., Choi,J.",24954514,South Korea,Sus scrofa,unknown,2014-02,"Porcine epidemic diarrhea virus isolate KUIDL-PED-2014-007, complete genome",Porcine epidemic diarrhea virus,9823
KJ588063,56.319375,Porcine epidemic diarrhea virus,Alphacoronavirus,Alphacoronavirus,27759,"Choi,J.C., Lee,K.K., Pi,J.H., Park,S.Y., Song,C.S., Choi,I.S., Lee,J.B., Lee,D.H., Lee,S.W., Choi,J.",24954514,South Korea,Sus scrofa,unknown,2014-02,"Porcine epidemic diarrhea virus isolate KUIDL-PED-2014-002, complete genome",Porcine epidemic diarrhea virus,9823
KJ601777,44.8146666666667,Coronavirus HKU15,Deltacoronavirus,Deltacoronavirus,25408,"Marthaler,D., Rossow,K., Rovira,A.","",USA: Illinois,Sus scrofa,unknown,1/8/2014,"Deltacoronavirus PDCoV/USA/Illinois133/2014 from USA, complete genome",Coronavirus HKU15,9823
KJ601778,44.8146666666667,Coronavirus HKU15,Deltacoronavirus,Deltacoronavirus,25404,"Marthaler,D., Rossow,K., Rovira,A.","",USA: Illinois,Sus scrofa,unknown,1/8/2014,"Deltacoronavirus PDCoV/USA/Illinois134/2014 from USA, complete genome",Coronavirus HKU15,9823
KJ601779,44.8146666666667,Coronavirus HKU15,Deltacoronavirus,Deltacoronavirus,25404,"Marthaler,D., Rossow,K., Rovira,A.","",USA: Illinois,Sus scrofa,unknown,1/11/2014,"Deltacoronavirus PDCoV/USA/Illinois136/2014 from USA, complete genome",Coronavirus HKU15,9823
KJ601780,44.4443076923077,Coronavirus HKU15,Deltacoronavirus,Deltacoronavirus,25404,"Marthaler,D., Rossow,K., Rovira,A.","",USA: Ohio,Sus scrofa,unknown,1/26/2014,"Deltacoronavirus PDCoV/USA/Ohio137/2014 from USA, complete genome",Coronavirus HKU15,9823
KJ620016,44.8146666666667,Coronavirus HKU15,Deltacoronavirus,Deltacoronavirus,25422,"Wang,L., Byrum,B., Zhang,Y.",25153521,USA: Michigan,Sus scrofa,unknown,3/18/2014,"Porcine coronavirus HKU15 strain MI6148, complete genome",Coronavirus HKU15,9823
KJ623926,56.86664,Porcine epidemic diarrhea virus,Alphacoronavirus,Alphacoronavirus,28038,"Cho,Y.Y., Lim,S.I., Kim,Y.K., Song,J.Y., Lee,J.B., An,D.J., Cho,Y., Lim,S., Kim,Y., Song,J., Lee,J., An,D.",24874682,South Korea,Sus scrofa,unknown,2014,"Porcine epidemic diarrhea virus strain K14JB01, complete genome",Porcine epidemic diarrhea virus,9823
KJ645635,56.4743461538462,Porcine epidemic diarrhea virus,Alphacoronavirus,Alphacoronavirus,27989,"Vlasova,A.N., Marthaler,D., Wang,Q., Culhane,M.R., Rossow,K.D., Rovira,A., Collins,J., Saif,L.J., Rossow,K.",25279722,USA: Indiana,Sus scrofa,abdominal cavity,6/8/2013,"Porcine epidemic diarrhea virus strain USA/Indiana12.83/2013, complete genome",Porcine epidemic diarrhea virus,9823
KJ645636,55.39992,Porcine epidemic diarrhea virus,Alphacoronavirus,Alphacoronavirus,27998,"Vlasova,A.N., Marthaler,D., Wang,Q., Culhane,M.R., Rossow,K.D., Rovira,A., Collins,J., Saif,L.J., Rossow,K.",25279722,USA: Iowa,Sus scrofa,abdominal cavity,7/14/2013,"Porcine epidemic diarrhea virus strain USA/Iowa28/2013, complete genome",Porcine epidemic diarrhea virus,9823
KJ645637,55.39992,Porcine epidemic diarrhea virus,Alphacoronavirus,Alphacoronavirus,27998,"Vlasova,A.N., Marthaler,D., Wang,Q., Culhane,M.R., Rossow,K.D., Rovira,A., Collins,J., Saif,L.J., Rossow,K.",25279722,USA: Kansas,Sus scrofa,feces,7/15/2013,"Porcine epidemic diarrhea virus strain USA/Kansas29/2013, complete genome",Porcine epidemic diarrhea virus,9823
KJ645638,55.0640384615385,Porcine epidemic diarrhea virus,Alphacoronavirus,Alphacoronavirus,27998,"Vlasova,A.N., Marthaler,D., Wang,Q., Culhane,M.R., Rossow,K.D., Rovira,A., Collins,J., Saif,L.J., Rossow,K.",25279722,USA: Colorado,Sus scrofa,abdominal cavity,7/22/2013,"Porcine epidemic diarrhea virus strain USA/Colorado30/2013, complete genome",Porcine epidemic diarrhea virus,9823
KJ645639,56.319375,Porcine epidemic diarrhea virus,Alphacoronavirus,Alphacoronavirus,27998,"Vlasova,A.N., Marthaler,D., Wang,Q., Culhane,M.R., Rossow,K.D., Rovira,A., Collins,J., Saif,L.J., Rossow,K.",25279722,USA: Texas,Sus scrofa,feces,7/22/2013,"Porcine epidemic diarrhea virus strain USA/Texas31/2013, complete genome",Porcine epidemic diarrhea virus,9823
KJ645640,54.2948076923077,Porcine epidemic diarrhea virus,Alphacoronavirus,Alphacoronavirus,27998,"Vlasova,A.N., Marthaler,D., Wang,Q., Culhane,M.R., Rossow,K.D., Rovira,A., Collins,J., Saif,L.J., Rossow,K.",25279722,USA: Oklahoma,Sus scrofa,feces,7/24/2013,"Porcine epidemic diarrhea virus strain USA/Oklahoma32/2013, complete genome",Porcine epidemic diarrhea virus,9823
KJ645641,55.93328,Porcine epidemic diarrhea virus,Alphacoronavirus,Alphacoronavirus,27998,"Vlasova,A.N., Marthaler,D., Wang,Q., Culhane,M.R., Rossow,K.D., Rovira,A., Collins,J., Saif,L.J., Rossow,K.",25279722,USA: Indiana,Sus scrofa,feces,8/21/2013,"Porcine epidemic diarrhea virus strain USA/Indiana34/2013, complete genome",Porcine epidemic diarrhea virus,9823
KJ645642,54.5511923076923,Porcine epidemic diarrhea virus,Alphacoronavirus,Alphacoronavirus,27998,"Vlasova,A.N., Marthaler,D., Wang,Q., Culhane,M.R., Rossow,K.D., Rovira,A., Collins,J., Saif,L.J., Rossow,K.",25279722,USA: Oklahoma,Sus scrofa,feces,8/26/2013,"Porcine epidemic diarrhea virus strain USA/Oklahoma35/2013, complete genome",Porcine epidemic diarrhea virus,9823
KJ645643,55.39992,Porcine epidemic diarrhea virus,Alphacoronavirus,Alphacoronavirus,27998,"Vlasova,A.N., Marthaler,D., Wang,Q., Culhane,M.R., Rossow,K.D., Rovira,A., Collins,J., Saif,L.J., Rossow,K.",25279722,USA: Kansas,Sus scrofa,feces,9/1/2013,"Porcine epidemic diarrhea virus strain USA/Kansas36/2013, complete genome",Porcine epidemic diarrhea virus,9823
KJ645644,55.0640384615385,Porcine epidemic diarrhea virus,Alphacoronavirus,Alphacoronavirus,27998,"Vlasova,A.N., Marthaler,D., Wang,Q., Culhane,M.R., Rossow,K.D., Rovira,A., Collins,J., Saif,L.J., Rossow,K.",25279722,USA: Oklahoma,Sus scrofa,feces,9/7/2013,"Porcine epidemic diarrhea virus strain USA/Oklahoma38/2013, complete genome",Porcine epidemic diarrhea virus,9823
KJ645645,55.39992,Porcine epidemic diarrhea virus,Alphacoronavirus,Alphacoronavirus,27998,"Vlasova,A.N., Marthaler,D., Wang,Q., Culhane,M.R., Rossow,K.D., Rovira,A., Collins,J., Saif,L.J., Rossow,K.",25279722,USA: Texas,Sus scrofa,abdominal cavity,9/28/2013,"Porcine epidemic diarrhea virus strain USA/Texas39/2013, complete genome",Porcine epidemic diarrhea virus,9823
KJ645646,55.39992,Porcine epidemic diarrhea virus,Alphacoronavirus,Alphacoronavirus,27988,"Vlasova,A.N., Marthaler,D., Wang,Q., Culhane,M.R., Rossow,K.D., Rovira,A., Collins,J., Saif,L.J., Rossow,K.",25279722,USA: NorthCarolina,Sus scrofa,feces,10/5/2013,"Porcine epidemic diarrhea virus strain USA/NorthCarolina40/2013, complete genome",Porcine epidemic diarrhea virus,9823
KJ645647,55.39992,Porcine epidemic diarrhea virus,Alphacoronavirus,Alphacoronavirus,27998,"Vlasova,A.N., Marthaler,D., Wang,Q., Culhane,M.R., Rossow,K.D., Rovira,A., Collins,J., Saif,L.J., Rossow,K.",25279722,USA: Minnesota,Sus scrofa,feces,10/14/2013,"Porcine epidemic diarrhea virus strain USA/Minnesota41/2013, complete genome",Porcine epidemic diarrhea virus,9823
KJ645648,55.39992,Porcine epidemic diarrhea virus,Alphacoronavirus,Alphacoronavirus,27998,"Vlasova,A.N., Marthaler,D., Wang,Q., Culhane,M.R., Rossow,K.D., Rovira,A., Collins,J., Saif,L.J., Rossow,K.",25279722,USA: Minnesota,Sus scrofa,feces,10/20/2013,"Porcine epidemic diarrhea virus strain USA/Minnesota42/2013, complete genome",Porcine epidemic diarrhea virus,9823
KJ645649,55.6172592592593,Porcine epidemic diarrhea virus,Alphacoronavirus,Alphacoronavirus,27989,"Vlasova,A.N., Marthaler,D., Wang,Q., Culhane,M.R., Rossow,K.D., Rovira,A., Collins,J., Saif,L.J., Rossow,K.",25279722,USA: Iowa,Sus scrofa,abdominal cavity,10/20/2013,"Porcine epidemic diarrhea virus strain USA/Iowa23.57/2013, complete genome",Porcine epidemic diarrhea virus,9823
KJ645650,56.041625,Porcine epidemic diarrhea virus,Alphacoronavirus,Alphacoronavirus,27998,"Vlasova,A.N., Marthaler,D., Wang,Q., Culhane,M.R., Rossow,K.D., Rovira,A., Collins,J., Saif,L.J., Rossow,K.",25279722,USA: Kansas,Sus scrofa,feces,10/23/2013,"Porcine epidemic diarrhea virus strain USA/Kansas46/2013, complete genome",Porcine epidemic diarrhea virus,9823
KJ645651,55.13328,Porcine epidemic diarrhea virus,Alphacoronavirus,Alphacoronavirus,27998,"Vlasova,A.N., Marthaler,D., Wang,Q., Culhane,M.R., Rossow,K.D., Rovira,A., Collins,J., Saif,L.J., Rossow,K.",25279722,USA: Colorado,Sus scrofa,feces,10/23/2013,"Porcine epidemic diarrhea virus strain USA/Colorado47/2013, complete genome",Porcine epidemic diarrhea virus,9823
KJ645652,55.39992,Porcine epidemic diarrhea virus,Alphacoronavirus,Alphacoronavirus,27998,"Vlasova,A.N., Marthaler,D., Wang,Q., Culhane,M.R., Rossow,K.D., Rovira,A., Collins,J., Saif,L.J., Rossow,K.",25279722,USA: Minnesota,Sus scrofa,feces,11/2/2013,"Porcine epidemic diarrhea virus strain USA/Minnesota54/2013, complete genome",Porcine epidemic diarrhea virus,9823
KJ645653,56.319375,Porcine epidemic diarrhea virus,Alphacoronavirus,Alphacoronavirus,27998,"Vlasova,A.N., Marthaler,D., Wang,Q., Culhane,M.R., Rossow,K.D., Rovira,A., Collins,J., Saif,L.J., Rossow,K.",25279722,USA: Wisconsin,Sus scrofa,feces,11/3/2013,"Porcine epidemic diarrhea virus strain USA/Wisconsin55/2013, complete genome",Porcine epidemic diarrhea virus,9823
KJ645654,55.93328,Porcine epidemic diarrhea virus,Alphacoronavirus,Alphacoronavirus,27998,"Vlasova,A.N., Marthaler,D., Wang,Q., Culhane,M.R., Rossow,K.D., Rovira,A., Collins,J., Saif,L.J., Rossow,K.",25279722,USA: Tennesse,Sus scrofa,abdominal cavity,11/4/2013,"Porcine epidemic diarrhea virus strain USA/Tennesse56/2013, complete genome",Porcine epidemic diarrhea virus,9823
KJ645655,55.6172592592593,Porcine epidemic diarrhea virus,Alphacoronavirus,Alphacoronavirus,27989,"Vlasova,A.N., Marthaler,D., Wang,Q., Culhane,M.R., Rossow,K.D., Rovira,A., Collins,J., Saif,L.J., Rossow,K.",25279722,USA: Minnesota,Sus scrofa,feces,11/5/2013,"Porcine epidemic diarrhea virus strain USA/Minnesota58/2013, complete genome",Porcine epidemic diarrhea virus,9823
KJ645656,55.39992,Porcine epidemic diarrhea virus,Alphacoronavirus,Alphacoronavirus,27998,"Vlasova,A.N., Marthaler,D., Wang,Q., Culhane,M.R., Rossow,K.D., Rovira,A., Collins,J., Saif,L.J., Rossow,K.",25279722,USA: Minnesota,Sus scrofa,feces,11/11/2013,"Porcine epidemic diarrhea virus strain USA/Minnesota59/2013, complete genome",Porcine epidemic diarrhea virus,9823
KJ645657,55.39992,Porcine epidemic diarrhea virus,Alphacoronavirus,Alphacoronavirus,27998,"Vlasova,A.N., Marthaler,D., Wang,Q., Culhane,M.R., Rossow,K.D., Rovira,A., Collins,J., Saif,L.J., Rossow,K.",25279722,USA: Ohio,Sus scrofa,abdominal cavity,11/12/2013,"Porcine epidemic diarrhea virus strain USA/Ohio60/2013, complete genome",Porcine epidemic diarrhea virus,9823
KJ645658,55.39992,Porcine epidemic diarrhea virus,Alphacoronavirus,Alphacoronavirus,27998,"Vlasova,A.N., Marthaler,D., Wang,Q., Culhane,M.R., Rossow,K.D., Rovira,A., Collins,J., Saif,L.J., Rossow,K.",25279722,USA: Minnesota,Sus scrofa,abdominal cavity,11/18/2013,"Porcine epidemic diarrhea virus strain USA/Minnesota62/2013, complete genome",Porcine epidemic diarrhea virus,9823
KJ645659,55.13328,Porcine epidemic diarrhea virus,Alphacoronavirus,Alphacoronavirus,27998,"Vlasova,A.N., Marthaler,D., Wang,Q., Culhane,M.R., Rossow,K.D., Rovira,A., Collins,J., Saif,L.J., Rossow,K.",25279722,USA: Illinois,Sus scrofa,feces,11/19/2013,"Porcine epidemic diarrhea virus strain USA/Illinois63/2013, complete genome",Porcine epidemic diarrhea virus,9823
KJ645660,55.39992,Porcine epidemic diarrhea virus,Alphacoronavirus,Alphacoronavirus,27998,"Vlasova,A.N., Marthaler,D., Wang,Q., Culhane,M.R., Rossow,K.D., Rovira,A., Collins,J., Saif,L.J., Rossow,K.",25279722,USA: Minnesota,Sus scrofa,feces,11/19/2013,"Porcine epidemic diarrhea virus strain USA/Minnesota64/2013, complete genome",Porcine epidemic diarrhea virus,9823
KJ645661,55.39992,Porcine epidemic diarrhea virus,Alphacoronavirus,Alphacoronavirus,27998,"Vlasova,A.N., Marthaler,D., Wang,Q., Culhane,M.R., Rossow,K.D., Rovira,A., Collins,J., Saif,L.J., Rossow,K.",25279722,USA: Minnesota,Sus scrofa,feces,11/20/2013,"Porcine epidemic diarrhea virus strain USA/Minnesota65/2013, complete genome",Porcine epidemic diarrhea virus,9823
KJ645663,55.39992,Porcine epidemic diarrhea virus,Alphacoronavirus,Alphacoronavirus,27998,"Vlasova,A.N., Marthaler,D., Wang,Q., Culhane,M.R., Rossow,K.D., Rovira,A., Collins,J., Saif,L.J., Rossow,K.",25279722,USA: Minnesota,Sus scrofa,abdominal cavity,11/23/2013,"Porcine epidemic diarrhea virus strain USA/Minnesota67/2013, complete genome",Porcine epidemic diarrhea virus,9823
KJ645664,55.39992,Porcine epidemic diarrhea virus,Alphacoronavirus,Alphacoronavirus,27998,"Vlasova,A.N., Marthaler,D., Wang,Q., Culhane,M.R., Rossow,K.D., Rovira,A., Collins,J., Saif,L.J., Rossow,K.",25279722,USA: Ohio,Sus scrofa,abdominal cavity,11/24/2013,"Porcine epidemic diarrhea virus strain USA/Ohio68/2013, complete genome",Porcine epidemic diarrhea virus,9823
KJ645665,55.39992,Porcine epidemic diarrhea virus,Alphacoronavirus,Alphacoronavirus,27998,"Vlasova,A.N., Marthaler,D., Wang,Q., Culhane,M.R., Rossow,K.D., Rovira,A., Collins,J., Saif,L.J., Rossow,K.",25279722,USA: Ohio,Sus scrofa,feces,11/24/2013,"Porcine epidemic diarrhea virus strain USA/Ohio69/2013, complete genome",Porcine epidemic diarrhea virus,9823
KJ645666,55.39992,Porcine epidemic diarrhea virus,Alphacoronavirus,Alphacoronavirus,27998,"Vlasova,A.N., Marthaler,D., Wang,Q., Culhane,M.R., Rossow,K.D., Rovira,A., Collins,J., Saif,L.J., Rossow,K.",25279722,USA: Iowa,Sus scrofa,abdominal cavity,11/24/2013,"Porcine epidemic diarrhea virus strain USA/Iowa70/2013, complete genome",Porcine epidemic diarrhea virus,9823
KJ645667,55.39992,Porcine epidemic diarrhea virus,Alphacoronavirus,Alphacoronavirus,27998,"Vlasova,A.N., Marthaler,D., Wang,Q., Culhane,M.R., Rossow,K.D., Rovira,A., Collins,J., Saif,L.J., Rossow,K.",25279722,USA: Minnesota,Sus scrofa,feces,11/28/2013,"Porcine epidemic diarrhea virus strain USA/Minnesota72/2013, complete genome",Porcine epidemic diarrhea virus,9823
KJ645668,55.0640384615385,Porcine epidemic diarrhea virus,Alphacoronavirus,Alphacoronavirus,27998,"Vlasova,A.N., Marthaler,D., Wang,Q., Culhane,M.R., Rossow,K.D., Rovira,A., Collins,J., Saif,L.J., Rossow,K.",25279722,USA: Minnesota,Sus scrofa,feces,11/25/2013,"Porcine epidemic diarrhea virus strain USA/Minnesota73/2013, complete genome",Porcine epidemic diarrhea virus,9823
KJ645669,55.93328,Porcine epidemic diarrhea virus,Alphacoronavirus,Alphacoronavirus,27998,"Vlasova,A.N., Marthaler,D., Wang,Q., Culhane,M.R., Rossow,K.D., Rovira,A., Collins,J., Saif,L.J., Rossow,K.",25279722,USA: Wisconsin,Sus scrofa,abdominal cavity,11/27/2013,"Porcine epidemic diarrhea virus strain USA/Wisconsin74/2013, complete genome",Porcine epidemic diarrhea virus,9823
